A17HSXT283RXWT,B000IZ8AZO,5.0,1222732800
A3K2S5XC8IFAHI,B000IZ8AZO,4.0,1338076800
A297SKGNX8HXXL,B000L2LGUU,5.0,1323648000
A3GDZ6P9XZEVGO,B000E267RO,5.0,1357344000
A1A4U27E8Z4PR4,B000F158BA,1.0,1268092800
A1MAYUB51MZF64,B00092COYO,2.0,1198454400
A3CN9RVTBL3JR8,B00092COYO,5.0,1258502400
A25Q44N4D5GTAX,B00092COYO,1.0,1353715200
A1L7TB6V67D6VG,B00092COYO,4.0,1238716800
A3EEEV7R7WPCM5,B000KPYCWW,3.0,1354320000
A1QBSWMC7JXAM0,B000GTQ65S,4.0,1325030400
ACH7TV4KKLMFK,B0007IFW2Q,2.0,1327708800
A278CCSCV6UIC4,B000E4HRL2,3.0,1168300800
A3HLQBG75DF9K7,B000CP8NV6,5.0,1359158400
A3QZMG3Z2S4PF0,B00092COZS,4.0,1142640000
A2Q23Z20SE4QD3,B00092COZS,3.0,1194652800
A2PU0RGQJBI3ID,B00092COZS,5.0,1233014400
A3G3JYRMZN9XR9,B00092COZS,2.0,1264723200
A3PLR9W67ERMD2,B00092COZS,5.0,1167177600
A2SFGAR7OCWZVG,B00092COZS,4.0,1246147200
A1FU5PWGG17F0F,B00092COZS,4.0,1220054400
A2ZUT6PIRBOHL6,B00092COZS,1.0,1139270400
A380E9OQTAIU2U,B00092COZS,1.0,1147392000
ABDQEN1U5HU5S,B000F5SLU6,4.0,1353196800
A3AD4PWAZIRVCU,B00092COZ8,5.0,1260662400
A10QR7BU2NBE1B,B000E4NMC0,3.0,1352592000
A1IWO4TU9SYHJY,B000E4NMC0,2.0,1344297600
AV0JPDZIHV7K9,B000E4NMC0,5.0,1262131200
A1LBFOXSOFMZRC,B000E4NMC0,5.0,1174694400
A1HHG9CDRDS8IG,B000E4NMC0,5.0,1305676800
AA9MCKS2VVWL0,B000NK79VA,1.0,1360368000
A1VK3POF9ND2G2,B000C8BMUW,2.0,1315958400
A2WFFAMMSH5H9Q,B000C8BMVG,5.0,1214006400
A191C2YTYXKGYO,B000C8BMVG,3.0,1330992000
A9G0U50G77RTV,B000C8BMVG,5.0,1313107200
A43V8T65205WI,B000C8BMVG,5.0,1285718400
A2MWXRW9CQBFY4,B000C8BMVG,1.0,1291420800
A30B26VS4UBXFE,B000CPICQM,5.0,1359244800
A29K9UI543TFYC,B000E4HRMG,5.0,1347148800
A3CQPIDAZRV63M,B0002KL69W,5.0,1127347200
A2VYYC0P6JDHN9,B000GU129W,1.0,1350950400
A2PZEBUMU6IXVJ,B0002LWEF6,5.0,1357344000
A1QOI15O9ELDTI,B0002LWEF6,5.0,1287964800
A3TOCQBJ0ZEWTA,B000KPYCYK,5.0,1355616000
